Security,Anchor link to footer,
View it in your browser,Online version,
NatWest Logo,http://www.natwest.com/personal.ashx ,
Facebook logo,https://www.facebook.com/NatWest?channel=personal?channel=personal ,
Twitter logo,https://twitter.com/natwest_help?channel=personal?channel=personal,
In this issue: Use your debit card to travel around London,Anchor to F1 section,
,,
OR,,
,,
Get Cash without your bank card,,
,,
,,
,,
,,
,,
,"Anchor to F2,F3 section",
Online Banking just got easier,Anchor to this section,
Win a signed cricket bat,Anchor to this section,
F1 Find out more,,
,https://www.cashbackplus.natwest.com/?extcam=N_EMC_0_MTA_CBP_MT36462_HT1409_a,
,OR,
,http://www.tfl.gov.uk/fares-and-payments/contactless?cid=fs028,
"F2,F3 Find out more",https://www.youtube.com/watch?v=tAxuSS9j16I,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
E1 Log in to your account,https://www.cashbackplus.natwest.com/Account/Login?extcam=N_EMC_0_MTA_CBP_MT36462_HT1409_a,
E2 Join for free,https://www.cashbackplus.natwest.com/?extcam=N_EMC_0_MTA_CBP_MT36462_HT1409_a,
G1 > Go to the app,http://personal.natwest.com/personal/ways-to-bank-with-us/mobile-banking/key-benefits-of-theapp.html,
,,
G2 > Download the app,http://personal.natwest.com/personal/ways-to-bank-with-us/mobile-banking/key-benefits-of-theapp.html,
,,
G3 > Download the app,http://personal.natwest.com/personal/ways-to-bank-with-us/mobile-banking/key-benefits-of-theapp.html,
,,
I1 I2 I3 > See how to protect yourself,https://www.moneyadviceservice.org.uk/en/articles/beginners-guide-to-scams,
H1-H9 Sign up now,http://personal.natwest.com/personal/ways-to-bank-with-us/text-alerts/how-to-register-fortextalerts2.html?extcam=N_EMC_0_OLB_Al_MT36462_HT1409_a,
"J1, J2  Go to Online Banking",http://personal.natwest.com/personal/ways-to-bank-with-us/online-banking/find-out-more-aboutonlinebanking.html,
K1 K2 K3 K4 > Enter now,www.natwest.com/cricket,
Useful Links> Get the Mobile app,https://applink.natwest.com/HelpfulTips,
Useful Links> Reset now (OLB),http://personal.natwest.com/personal/ways-to-bank-with-us/online-banking/find-out-more-aboutonlinebanking.html,
,,
,,
Useful Links> Use currency converter,http://personal.natwest.com/personal/travel-international/travel-money/currency-converter.html,
Useful Links> Notify us now,http://personal.natwest.com/personal/current-accounts/lost-or-stolen-cards.html,
,,
Useful Links> Reset it now,http://supportcentre.natwest.com/app/answers/detail/a_id/1784/kw/mobile%20banking,
,,
Useful Links> Go to our Support Centre,http://personal.natwest.com/global/support-centre.html,
Visit NatWest.com,http://www.natwest.com/personal.ashx ,
Marketing Flag N,Service footer unsubs should go into Helpful Tips suppressions list and helpful tips unsub page should be used,
phishing@natwest.com,mailto:phishing@natwest.com  ,
Natwest.com/security,http://personal.natwest.com/global/security-centre.html,
,,
,,
,,
,,
,,
,,
Security,Anchor link to footer,
View it in your browser,Online version,
RBS Logo,http://www.rbs.co.uk/personal.ashx ,
Facebook logo,https://www.facebook.com/royalbankofscotland  ,
Twitter logo,https://twitter.com/rbs_help,
